Coliphorms,Yeast,Mold,Total Counts,Lactic bacteria,Flag,
0,0,0,0,0,-1,03/06/2020
0,0,0,0,0,-1,03/06/2020
0,0,0,0,0,-1,03/06/2020
0,0,0,0,0,-1,03/06/2020
0,0,0,0,0,-1,17/02/2020
1,1,1,1000,300,1,06/02/2020
1,1,1,1000,300,1,06/02/2020
1,1,1,1000,300,1,06/02/2020
0,0,0,0,0,-1,17/02/2020
0,0,0,0,0,-1,17/02/2020
1,1,1,1000,300,1,06/02/2020
0,0,0,0,0,-1,17/02/2020
0,0,0,0,0,-1,13/05/2020
0,0,0,0,0,-1,13/05/2020
0,0,0,0,0,-1,13/05/2020
0,0,0,0,0,-1,20/05/2020
0,0,0,0,0,-1,20/05/2020
0,0,0,0,0,-1,20/05/2020
0,0,0,0,0,-1,20/05/2020
0,0,0,0,0,-1,20/05/2020
0,0,0,0,0,-1,20/05/2020
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,02/12/2019
0,0,0,0,0,-1,02/12/2019
0,0,0,0,0,-1,02/12/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,18/11/2019
0,0,0,0,0,-1,02/12/2019
0,0,0,0,0,-1,02/12/2019
0,0,0,0,0,-1,02/12/2019
0,0,0,0,0,-1,02/12/2019
0,0,0,0,0,-1,02/12/2019
0,0,0,0,0,-1,02/12/2019
0,0,0,0,0,-1,02/12/2019
1,1,1,60000,80000,1,22/07/2020
1,1,1,60000,80000,1,22/07/2020
1,1,1,60000,80000,1,22/07/2020
1,1,1,60000,80000,1,22/07/2020
1,1,1,60000,80000,1,22/07/2020
1,1,1,60000,80000,1,22/07/2020
1,1,1,60000,80000,1,22/07/2020
1,1,1,60000,80000,1,22/07/2020
1,1,1,60000,80000,1,22/07/2020
1,1,1,60000,80000,1,22/07/2020
1,1,1,60000,80000,1,22/07/2020
1,1,1,60000,80000,1,22/07/2020
1,1,1,60000,80000,1,22/07/2020
1,1,1,60000,80000,1,22/07/2020
1,1,1,60000,80000,1,22/07/2020
1,1,1,1000,200,1,08/07/2020
1,1,1,1000,200,1,08/07/2020
1,1,1,1000,200,1,08/07/2020
1,1,1,15000,9000,1,15/07/2020
1,1,1,15000,9000,1,15/07/2020
1,1,1,15000,9000,1,15/07/2020
1,1,1,15000,9000,1,15/07/2020
1,1,1,15000,9000,1,15/07/2020
1,1,1,15000,9000,1,15/07/2020
1,1,1,1000,200,1,30/06/2020
1,1,1,1000,200,1,30/06/2020
1,1,1,1000,200,1,30/06/2020
1,1,1,1000,200,1,30/06/2020
1,1,1,1500,1000,1,10/06/2020
1,1,1,1500,1000,1,10/06/2020
1,1,1,1500,1000,1,10/06/2020
1,1,1,1500,1000,1,10/06/2020
1,1,1,1500,1000,1,10/06/2020
1,1,1,1500,1000,1,10/06/2020
1,1,1,3000,500,1,17/06/2020
1,1,1,3000,500,1,17/06/2020
1,1,1,3000,500,1,17/06/2020
1,1,1,3000,500,1,17/06/2020
1,1,1,3000,500,1,17/06/2020
1,1,1,3000,500,1,17/06/2020
1,1,1,3000,500,1,17/06/2020
1,1,1,3000,500,1,17/06/2020
1,1,1,3000,500,1,17/06/2020
1,1,1,3000,500,1,17/06/2020
0,0,0,0,0,-1,24/06/2020
0,0,0,0,0,-1,24/06/2020
1,4800,1,50000,10000,1,05/08/2020
1,4800,1,50000,10000,1,05/08/2020
1,4800,1,50000,10000,1,05/08/2020
1,4800,1,50000,10000,1,05/08/2020
1,4800,1,50000,10000,1,05/08/2020
1,4800,1,50000,10000,1,05/08/2020
1,4800,1,50000,10000,1,05/08/2020
1,4800,1,50000,10000,1,05/08/2020
1,4800,1,50000,10000,1,05/08/2020
1,4800,1,50000,10000,1,05/08/2020
1,4800,1,50000,10000,1,05/08/2020
1,4800,1,50000,10000,1,05/08/2020
1,4800,1,50000,10000,1,05/08/2020
1,4800,1,50000,10000,1,05/08/2020
0,0,0,0,0,-1,29/07/2020
0,0,0,0,0,-1,29/07/2020
0,0,0,0,0,-1,29/07/2020
0,0,0,0,0,-1,29/07/2020
0,0,0,0,0,-1,29/07/2020
0,0,0,0,0,-1,29/07/2020
0,0,0,0,0,-1,29/07/2020
0,0,0,0,0,-1,29/07/2020
0,0,0,0,0,-1,29/07/2020
0,0,0,0,0,-1,29/07/2020
0,0,0,0,0,-1,29/07/2020
0,0,0,0,0,-1,29/07/2020
0,0,0,0,0,-1,29/07/2020
1,1,1,2300,700,1,23/02/2021
1,1,1,1200,500,1,10/03/2021
1,1,1,300,100,1,15/03/2021
1,1,1,3000,500,1,18/03/2021
1,1,1,1300,3000,1,24/02/2021
1,1,1,3000,1000,1,22/03/2021
1,1,20,1000,100,1,25/03/2021
1,1,1,1000,200,1,30/03/2021
1,1,1,1000,100,1,25/02/2021
10,1,1,1500,1300,1,28/02/2021
1,1,1,3000,1000,1,01/03/2021
1,1,1,2000,500,1,07/03/2021
1,1,1,2300,700,1,23/02/2021
1,1,1,2000,300,1,08/03/2021
1,1,1,1000,300,1,11/03/2021
1,1,1,3000,1000,1,14/03/2021
1,1,1,1000,200,1,16/03/2021
1,1,1,2000,500,1,17/03/2021
1,1,1,3000,500,1,18/03/2021
1,1,1,1300,3000,1,24/02/2021
1,1,1,3500,500,1,21/03/2021
1,1,1,3000,1000,1,22/03/2021
1,1,1,5000,1000,1,24/03/2021
1,1,1,5000,1300,1,31/03/2021
1,1,1,1000,100,1,25/02/2021
10,1,1,1500,1300,1,28/02/2021
1,1,1,3000,1000,1,01/03/2021
1,1,1,1000,300,1,02/03/2021
1,10,10,1000,200,1,03/03/2021
1,1,1,2000,200,1,04/03/2021
1,1,1,2000,500,1,07/03/2021
1,1,1,2300,700,1,23/02/2021
1,1,1,2000,300,1,08/03/2021
1,1,1,1000,300,1,11/03/2021
1,1,1,300,100,1,15/03/2021
1,1,1,1000,200,1,16/03/2021
1,1,1,2000,500,1,17/03/2021
1,1,1,3000,500,1,18/03/2021
1,1,1,1300,3000,1,24/02/2021
1,1,1,5000,1000,1,24/03/2021
1,1,20,1000,100,1,25/03/2021
1,1,1,1000,500,1,29/03/2021
1,1,1,5000,1300,1,31/03/2021
1,1,1,1000,100,1,25/02/2021
10,1,1,1500,1300,1,28/02/2021
1,1,1,3000,1000,1,01/03/2021
1,1,1,1000,300,1,02/03/2021
1,10,10,1000,200,1,03/03/2021
1,1,1,2000,500,1,07/03/2021
1,1,1,2300,700,1,23/02/2021
1,1,1,2000,300,1,08/03/2021
1,1,1,3000,1000,1,09/03/2021
1,1,1,1000,200,1,16/03/2021
1,1,1,3000,500,1,18/03/2021
1,1,1,1300,3000,1,24/02/2021
1,1,1,3500,500,1,21/03/2021
1,1,1,5000,1000,1,24/03/2021
1,1,20,1000,100,1,25/03/2021
1,1,1,5000,1300,1,31/03/2021
1,1,1,1000,100,1,25/02/2021
10,1,1,1500,1300,1,28/02/2021
1,1,1,3000,1000,1,01/03/2021
1,1,1,1000,300,1,02/03/2021
1,10,10,1000,200,1,03/03/2021
1,1,1,2000,200,1,04/03/2021
1,1,1,2300,700,1,23/02/2021
1,1,1,1200,500,1,10/03/2021
1,1,1,1000,200,1,16/03/2021
1,1,1,1300,3000,1,24/02/2021
1,1,1,3500,500,1,21/03/2021
1,1,1,1000,100,1,25/02/2021
10,1,1,1500,1300,1,28/02/2021
1,1,1,3000,1000,1,01/03/2021
1,1,1,1000,300,1,02/03/2021
1,1,1,2000,200,1,04/03/2021
1,1,1,2000,500,1,07/03/2021
1,1,1,2300,700,1,23/02/2021
1,1,1,2000,300,1,08/03/2021
1,1,1,3000,1000,1,09/03/2021
1,1,1,1200,500,1,10/03/2021
1,1,1,1000,300,1,11/03/2021
1,1,1,3000,1000,1,14/03/2021
1,1,1,300,100,1,15/03/2021
1,1,1,1000,200,1,16/03/2021
1,1,1,2000,500,1,17/03/2021
1,1,1,3000,500,1,18/03/2021
1,1,1,1300,3000,1,24/02/2021
1,1,1,3000,1000,1,22/03/2021
1,1,1,5000,1000,1,24/03/2021
1,1,20,1000,100,1,25/03/2021
1,1,1,1000,500,1,29/03/2021
1,1,1,1000,200,1,30/03/2021
1,1,1,5000,1300,1,31/03/2021
1,1,1,1000,100,1,25/02/2021
10,1,1,1500,1300,1,28/02/2021
1,1,1,3000,1000,1,01/03/2021
1,1,1,1000,300,1,02/03/2021
1,10,10,1000,200,1,03/03/2021
1,1,1,2000,200,1,04/03/2021
1,1,1,2000,500,1,07/03/2021
1,1,1,2300,700,1,23/02/2021
1,1,1,3000,1000,1,14/03/2021
1,1,1,300,100,1,15/03/2021
1,1,1,2000,500,1,17/03/2021
1,1,1,3000,500,1,18/03/2021
1,1,1,1300,3000,1,24/02/2021
1,1,1,3500,500,1,21/03/2021
1,1,1,3000,1000,1,22/03/2021
1,1,20,1000,100,1,25/03/2021
1,1,1,1000,200,1,30/03/2021
10,1,1,1500,1300,1,28/02/2021
1,1,1,3000,1000,1,01/03/2021
1,10,10,1000,200,1,03/03/2021
1,1,1,2000,200,1,04/03/2021
1,1,1,2000,500,1,07/03/2021
